Company Name,Category,Sub-Category,Hall,LinkedIn URL
Ministry of Agriculture,Government,,15,https://www.linkedin.com/company/ministry-of-agriculture/
IILM University,Academia,,15,https://www.linkedin.com/company/iilm-university/
Government of Goa Department of IT Electronics,Government,,15,https://www.linkedin.com/company/government-of-goa-department-of-it--electronics/
Open AI Lounge,Corporate,Domestic,15,https://www.linkedin.com/company/open-ai-lounge/
Tanna Techbiz LLP,Corporate,Domestic,15,https://www.linkedin.com/company/tanna-techbiz-llp/
Government of Uttar Pradesh,Government,,15,https://www.linkedin.com/company/government-of-uttar-pradesh/
Scaler School of technology,Academia,,15,https://www.linkedin.com/company/scaler-school-of-technology/
E-Solutions IT Services Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/esolutions-it-services/
Government of Chhattisgarh State Industrial Development Corporation,Government,,15,https://www.linkedin.com/company/government-of-chhattisgarh-state-industrial-development/
LeadupUniverse - E&ICT IIT Kanpur,Startup,,15,https://www.linkedin.com/company/leadupuniverse--eict-iit-kanpur/
Lovely Professional University Punjab,Academia,,15,https://www.linkedin.com/company/lovely-professional-university-punjab/
FuturixAI,Corporate,Domestic,15,https://www.linkedin.com/company/futurixai/
Ansys Software Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/ansys-software/
dDriven,Corporate,Domestic,15,https://www.linkedin.com/company/ddriven/
Indian Army,Government,,15,https://www.linkedin.com/company/indian-army/
Evvolv.ai,Startup,,15,https://www.linkedin.com/company/evvolvai/
Knight Fintech,Startup,,15,https://www.linkedin.com/company/knight-fintech/
Repro India Pvt Ltd,Corporate,,15,https://www.linkedin.com/company/repro-india/
Cubastion Consulting Private Limited,Corporate,,15,https://www.linkedin.com/company/cubastion-consulting/
Refroid Technologies Private Limited,Startup,,15,https://www.linkedin.com/company/refroid-technologies/
Amity University,Academia,,15,https://www.linkedin.com/company/amity-university/
